,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.10,2012.11,2012.12
강원,89,114,97,101,91,101,118,89,107,105,126,96
경기,509,608,690,643,599,636,640,553,520,582,603,597
경남,102,128,145,136,100,146,151,136,146,148,105,149
경북,156,185,172,139,164,197,200,186,154,148,161,189
광주,94,80,103,121,73,112,149,106,81,95,95,98
대구,108,102,117,126,115,145,134,130,98,106,88,126
대전,58,82,104,85,51,85,80,67,78,91,72,77
부산,85,92,106,92,108,107,113,109,97,112,92,113
서울,261,274,372,353,306,350,315,315,325,316,342,290
울산,53,69,86,88,74,98,84,67,65,78,55,83
인천,124,127,140,126,136,125,146,124,109,105,116,121
전남,84,127,125,100,88,122,140,102,121,111,113,111
전북,94,99,105,91,90,116,123,102,87,96,87,103
제주,34,34,49,42,34,39,30,38,35,40,39,44
충남,134,165,175,132,130,153,174,162,139,141,140,137
충북,77,114,136,113,86,108,111,94,112,96,99,87
합계,2062,2409,2727,2494,2245,2640,2708,2380,2274,2378,2341,2435
